support,itemsets
0.6882430647291942,"carnes_resfriadas_congeladas,laticinios_sem_queijos"
0.6869220607661823,"carnes_resfriadas_congeladas,refrigerantes_sucos,temperos_molhos"
0.6869220607661823,"mercearia,refrigerantes_sucos,temperos_molhos,tuberculos"
0.6869220607661823,"doces_industrializados,frutas,mercearia"
0.6869220607661823,"carnes_resfriadas_congeladas,tuberculos"
0.6856010568031704,"doces_industrializados,frutas,tuberculos"
0.6842800528401585,"frutas,mercearia,queijos"
0.6842800528401585,"carnes_resfriadas_congeladas,mercearia"
0.6829590488771466,"doces_industrializados,laticinios_sem_queijos,temperos_molhos"
0.6816380449141347,"laticinios_sem_queijos,mercearia,refrigerantes_sucos,tuberculos"
0.6816380449141347,"frutas,queijos,refrigerantes_sucos,tuberculos"
0.6803170409511229,"mercearia,queijos,temperos_molhos"
0.678996036988111,"queijos,temperos_molhos,tuberculos"
0.6776750330250991,"doces_industrializados,frutas,laticinios_sem_queijos,refrigerantes_sucos"
0.6763540290620872,"laticinios_sem_queijos,queijos,tuberculos"
0.6763540290620872,"carnes_resfriadas_congeladas,laticinios_sem_queijos,refrigerantes_sucos"
0.6750330250990753,"carnes_resfriadas_congeladas,refrigerantes_sucos,tuberculos"
0.6737120211360634,"doces_industrializados,temperos_molhos,tuberculos"
0.6737120211360634,"doces_industrializados,mercearia,temperos_molhos"
0.6723910171730515,"laticinios_sem_queijos,mercearia,queijos"
0.6723910171730515,"doces_industrializados,frutas,refrigerantes_sucos,tuberculos"
0.6723910171730515,"doces_industrializados,frutas,queijos"
0.6723910171730515,verduras_hortalicas
0.6723910171730515,"frutas,laticinios_sem_queijos,mercearia,temperos_molhos"
0.6710700132100397,"frutas,laticinios_sem_queijos,temperos_molhos,tuberculos"
0.6697490092470277,"carnes_resfriadas_congeladas,mercearia,refrigerantes_sucos"
0.6684280052840158,"frutas,mercearia,queijos,refrigerantes_sucos"
0.667107001321004,"doces_industrializados,frutas,mercearia,refrigerantes_sucos"
0.667107001321004,"doces_industrializados,laticinios_sem_queijos,tuberculos"
0.667107001321004,"doces_industrializados,laticinios_sem_queijos,refrigerantes_sucos,temperos_molhos"
0.667107001321004,"queijos,refrigerantes_sucos,temperos_molhos,tuberculos"
0.665785997357992,"laticinios_sem_queijos,queijos,refrigerantes_sucos,tuberculos"
0.665785997357992,"doces_industrializados,laticinios_sem_queijos,mercearia"
0.6631439894319683,"mercearia,queijos,refrigerantes_sucos,temperos_molhos"
0.6591809775429326,"doces_industrializados,refrigerantes_sucos,temperos_molhos,tuberculos"
0.6591809775429326,"laticinios_sem_queijos,mercearia,queijos,refrigerantes_sucos"
0.6591809775429326,"refrigerantes_sucos,verduras_hortalicas"
0.6578599735799208,"doces_industrializados,mercearia,tuberculos"
0.6565389696169088,"carnes_resfriadas_congeladas,queijos"
0.6565389696169088,"doces_industrializados,mercearia,refrigerantes_sucos,temperos_molhos"
0.6565389696169088,"doces_industrializados,frutas,queijos,refrigerantes_sucos"
0.6565389696169088,"doces_industrializados,queijos,temperos_molhos"
0.6538969616908851,"mercearia,queijos,tuberculos"
0.6538969616908851,"frutas,mercearia,temperos_molhos,tuberculos"
0.6538969616908851,"doces_industrializados,laticinios_sem_queijos,refrigerantes_sucos,tuberculos"
0.6525759577278731,"frutas,laticinios_sem_queijos,queijos,temperos_molhos"
0.6512549537648613,"doces_industrializados,laticinios_sem_queijos,queijos"
0.6486129458388376,"carnes_resfriadas_congeladas,frutas,temperos_molhos"
0.6486129458388376,"doces_industrializados,laticinios_sem_queijos,mercearia,refrigerantes_sucos"
0.6459709379128138,"frutas,laticinios_sem_queijos,mercearia,tuberculos"
0.6446499339498019,"carnes_resfriadas_congeladas,queijos,refrigerantes_sucos"
0.6446499339498019,"doces_industrializados,frutas,laticinios_sem_queijos,temperos_molhos"
0.6433289299867899,"doces_industrializados,mercearia,refrigerantes_sucos,tuberculos"
0.6420079260237781,"mercearia,queijos,refrigerantes_sucos,tuberculos"
0.6406869220607662,"doces_industrializados,queijos,refrigerantes_sucos,temperos_molhos"
0.6406869220607662,"doces_industrializados,queijos,tuberculos"
0.6406869220607662,"carnes_resfriadas_congeladas,doces_industrializados"
0.6393659180977543,"laticinios_sem_queijos,mercearia,temperos_molhos,tuberculos"
0.6380449141347424,"frutas,verduras_hortalicas"
0.6380449141347424,"doces_industrializados,mercearia,queijos"
0.6367239101717305,"doces_industrializados,laticinios_sem_queijos,queijos,refrigerantes_sucos"
0.6354029062087186,"carnes_resfriadas_congeladas,frutas,laticinios_sem_queijos"
0.6340819022457067,"carnes_resfriadas_congeladas,frutas,refrigerantes_sucos,temperos_molhos"
0.6327608982826949,"doces_industrializados,frutas,mercearia,temperos_molhos"
0.6327608982826949,"frutas,queijos,temperos_molhos,tuberculos"
0.6327608982826949,"frutas,laticinios_sem_queijos,queijos,tuberculos"
0.631439894319683,"carnes_resfriadas_congeladas,laticinios_sem_queijos,temperos_molhos"
0.6287978863936592,"carnes_resfriadas_congeladas,frutas,tuberculos"
0.6287978863936592,"doces_industrializados,frutas,temperos_molhos,tuberculos"
0.6287978863936592,"carnes_resfriadas_congeladas,frutas,mercearia"
0.6287978863936592,"frutas,mercearia,queijos,temperos_molhos"
0.6274768824306473,"doces_industrializados,queijos,refrigerantes_sucos,tuberculos"
0.6261558784676354,"frutas,refrigerantes_sucos,verduras_hortalicas"
0.6261558784676354,"carnes_resfriadas_congeladas,doces_industrializados,refrigerantes_sucos"
0.6261558784676354,"frutas,laticinios_sem_queijos,mercearia,queijos"
0.6235138705416117,"laticinios_sem_queijos,queijos,temperos_molhos,tuberculos"
0.6235138705416117,"carnes_resfriadas_congeladas,frutas,laticinios_sem_queijos,refrigerantes_sucos"
0.6235138705416117,"doces_industrializados,frutas,laticinios_sem_queijos,mercearia"
0.6221928665785997,"doces_industrializados,frutas,laticinios_sem_queijos,tuberculos"
0.6208718626155878,"laticinios_sem_queijos,mercearia,queijos,temperos_molhos"
0.6208718626155878,"doces_industrializados,mercearia,queijos,refrigerantes_sucos"
0.619550858652576,"carnes_resfriadas_congeladas,mercearia,temperos_molhos"
0.619550858652576,"carnes_resfriadas_congeladas,laticinios_sem_queijos,refrigerantes_sucos,temperos_molhos"
0.618229854689564,"temperos_molhos,verduras_hortalicas"
0.618229854689564,"carnes_resfriadas_congeladas,frutas,refrigerantes_sucos,tuberculos"
0.6169088507265522,"carnes_resfriadas_congeladas,temperos_molhos,tuberculos"
0.6169088507265522,"doces_industrializados,frutas,queijos,temperos_molhos"
0.6155878467635403,"doces_industrializados,laticinios_sem_queijos,temperos_molhos,tuberculos"
